Page,Name,ASIN,Price,Sponsored,Rating,Total Reviews
1,"ORBIT Wintermint Sugarfree Chewing Gum, 14 Pieces (Pack of 12)",B001IZHSII,$10.96 ,No,4.8,"-13,166"
1,"EXTRA Gum Sweet Watermelon Sugarfree Chewing Gum, 15 Pieces (Pack of 10)",B001GM60J6,N/S,No,4.8,"-52,312"
1,"ICE BREAKERS ICE CUBES Peppermint With Cooling Crystals, Made with Xylitol, Sugar Free Chewing Gum Pouch, 8.11 oz (100 Pieces)",B01J26RZVO,$7.64 ,No,4.8,"-8,095"
1,"Mentos Pure Fresh Sugar-Free Chewing Gum with Xylitol, Spearmint, 50 Piece Bottle (Bulk Pack of 6)",B01BY5611Q,$15.33 ,No,4.7,"-23,274"
1,Trident Chewing Gum Sampler Gum Variety Pack | Sugar-Free | Assorted Flavor (10 Pack) Receive 10 out of the 18 flavors - Niro Assorted Flavors,B09MDJK6LS,$14.98 ,No,4.2,-836
1,"Trident White Peppermint Sugar Free Gum, 16 Count (Pack of 9)",B00IO29CI2,$7.34 ,No,4.8,"-3,683"
1,"ICE BREAKERS ICE CUBES Spearmint Sugar Free Chewing Gum, Made with Xylitol, 8.11 oz Pouch (100 Pieces)",B01MFBFUOC,$7.64 ,No,4.8,"-5,114"
1,"ICE BREAKERS ICE CUBES ARCTIC GRAPE Fruity, Made with Xylitol, Sugar Free Chewing Gum Pouch, 8.11 oz (100 Pieces)",B01J278YIQ,$7.64 ,No,4.6,"-11,808"
1,"Orbit, Spearmint Sugar Free Chewing Gum, 42 ct",B01LYWQVPM,$3.48 ,No,4.7,-456
1,"Mentos Pure Fresh Sugar-Free Chewing Gum with Xylitol, Fresh Mint, 120 Piece Bulk Resealable Bag (Pack of 1)",B01N8UJR14,$6.82 ,No,4.8,"-5,522"
1,"Trident Spearmint Sugar Free Gum, 12 Packs of 14 Pieces (168 Total Pieces)",B071FC8VPH,$9.34 ,No,4.8,"-4,666"
1,"(8 Pack) ECLIPSE Polar Ice Sugar Free Chewing Gum Bulk Pack, 18 Piece",B006Z0J3H0,$8.72 ,No,4.7,"-4,270"
1,"Trident Sugar Free Gum Variety Pack, 21 Packs of 14 Pieces (294 Total Pieces)",B08CMKB7G2,$21.59 ,No,4.7,"-6,064"
1,"PUR Gum | Sugar Free Chewing Gum | 100% Xylitol | Vegan, Aspartame Free, Gluten Free & Diabetic Friendly | Natural Spearmint Flavored Gum, 55 Pieces (Pack of 1)",B00ARABK20,$4.99 ,No,4.3,"-36,869"
1,"Wrigley, Doublemint Gum, 45 ct",B004OZDJW8,$3.48 ,No,4.7,-824
1,"Trident White Peppermint Sugar Free Gum, 180 Pieces",B007THAHHS,$8.18 ,No,4.7,"-4,200"
1,"Trident Tropical Twist Sugar Free Gum, 12 Packs of 14 Pieces (168 Total Pieces)",B072LR912H,$11.99 ,No,4.7,"-29,037"
1,"Juicy Fruit Gum Collisions Gum, Strawberry Watermelon, 15 Count (Pack of 10)",B00WYRSJNW,$11.84 ,No,4.7,"-3,813"
1,"Trident Tropical Twist Sugar Free Gum, 6 Pocket Packs of 28 Pieces (168 Total Pieces)",B08DD6DH6X,$12.69 ,No,4.6,"-1,426"
1,"Tootsie Roll Dubble Bubble, No Peanut Allergen Tub, Assorted, 300 Count.",B004CHASWC,$18.74 ,No,4.6,"-6,164"
1,"ORBIT WHITE Peppermint Sugarfree Gum, 40 Piece Bottle",B071FFMGTX,$3.99 ,No,4.7,-544
1,"WRIGLEY'S Spearmint Chewing Gum, 15 Count (Pack of 10)",B0722LDCXP,$11.90 ,No,4.8,"-1,445"
1,"Trident Watermelon Twist Sugar Free Gum, 14 Count (Pack of 12)",B0711V786T,$12.38 ,No,4.7,"-2,302"
1,"Quench Gum Tub, New Variety Fruit 300,300 Count (Pack of 1)",B095DFQZF3,$21.30 ,No,4.5,-340
1,"Simply Gum Sugar Free Chewing Gum (Bubble Gum, 55 Count)",B09RV3D4KG,$3.59 ,No,3.3,-174
1,"Mentos Always White Sugar-Free Chewing Gum with Xylitol, Bubble Fresh, 100 Piece Bottle (Pack of 4)",B07Q8VST9F,$15.96 ,No,4.7,"-2,978"
1,"ICE BREAKERS ICE CUBES Spearmint Flavored Sugar Free Chewing Gum, Made with Xylitol, 40 Piece Container (6 ct)",B07N7Y55R2,$18.57 ,No,4.8,"-1,565"
1,"ICE BREAKERS ICE CUBES Wintergreen Sugar Free Chewing Gum, Made with Xylitol, 3.24 oz Cube Bottles 40 Count (Pack of 6)",B07DLCSQBG,$23.88 ,No,4.8,"-1,408"
1,"Eclipse Spearmint Sugarfree Gum, 60 Count (Pack of 6)",B00J415EB6,$16.17 ,No,4.8,"-1,868"
1,"Trident White Spearmint Sugar Free Gum, 4 Bottles of 60 Pieces (240 Total Pieces)",B00445YALW,$15.96 ,No,4.7,"-5,909"
