Page,Name,ASIN,Price,Sponsored,Rating,Total Reviews
1,"Mentos Always White Sugar-Free Chewing Gum with Xylitol, Bubble Fresh, 100 Piece Bottle (Pack of 4)",B07Q8VST9F,$15.96 ,No,4.7,"-2,978"
1,"Quench Gum Tub, New Variety Fruit 300,300 Count (Pack of 1)",B095DFQZF3,$21.30 ,No,4.5,-340
1,"Trident White Spearmint Sugar Free Gum, 4 Bottles of 60 Pieces (240 Total Pieces)",B00445YALW,$15.96 ,No,4.7,"-5,909"
1,"Extra Refreshers Berry Mix Gum, 3.21-Ounce 40-Piece Bottle (Pack of 6)",B081HYX9XJ,$20.76 ,No,4.6,"-1,215"
1,"Trident Watermelon Twist Sugar Free Gum, 14 Count (Pack of 12)",B0711V786T,$12.38 ,No,4.7,"-2,302"
1,"EXTRA Polar Ice Sugarfree Gum, 35-Stick Pack",B01MQYX63I,N/S,No,4.8,-556
1,"Mentos Pure Fresh Sugar-Free Chewing Gum with Xylitol, Fresh Mint, in a recyclable 90% Paperboard Bottle, 80 Piece",B09TBLS6G9,$4.98 ,No,4.6,-321
1,"ECLIPSE Spearmint Sugarfree Gum, 60 Count (Pack of 4)",B001D3K2CE,$13.84 ,No,4.7,"-1,180"
1,"Trident Mega Spearmint Sugar Free Gum, 9 Packs of 10 Pieces (90 Total Pieces),10 Count (Pack of 9)",B09KYKD69N,$13.50 ,No,4.5,-851
1,"Dentyne Pure Mint with Herbal Accents Sugar Free Gum, 10 Packs of 9 Pieces (90 Total Pieces)",B004BKRLT8,$13.58 ,No,4.8,"-2,853"
1,"ICE BREAKERS ICE CUBES Wintergreen Sugar Free Chewing Gum, Made with Xylitol, 3.24 oz Cube Bottles 40 Count (Pack of 6)",B07DLCSQBG,$23.34 ,No,4.8,"-1,408"
1,"ORBIT Gum WHITE Peppermint Sugar Free Chewing Gum, 40 Piece Bottle (4 Pack)",B01L3PLN9W,$15.96 ,No,4.8,"-3,394"
1,"Trident Vibes SOUR PATCH KIDS Blue Raspberry Sugar Free Gum, 4 - 40 Piece Bottles (160 Total Pieces)",B09S1BYVJY,$15.12 ,No,4.5,"-1,295"
1,"Wrigley's Winterfresh Gum, 5 Count, Pack of 40",B00DZQK6GY,$14.00 ,No,4.7,"-1,490"
1,"EXTRA Polar Ice Sugarfree Chewing Gum, 35-stick Packs (Pack of 6)",B0176BBXT2,N/S,No,4.8,"-17,212"
1,"BUBBLE YUM Original Flavor Bubble Gum, Bulk, 2.82 oz Packages (12 Count, 10 Pieces)",B001IZJPCK,$14.28 ,No,4.7,"-3,872"
1,"ICE BREAKERS ICE CUBES Black Cherry Flavored Sugar Free Chewing Gum, Made with Xylitol, 3.24 oz Bottles (6 Count, 40 Pieces)",B08B43LFKY,$23.99 ,No,4.6,"-2,856"
1,"Spry Fresh Natural Xylitol Chewing Gum Dental Defense System Aspartame-Free Sugar Free Gum (Peppermint, 100 Count - Pack of 2)",B01AS507DQ,N/S,No,4.7,-875
1,"(18 Pack) HUBBA BUBBA Max Bubble Gum Strawberry Watermelon Flavored Chewing Gum, 5 Piece",B000Q6PT22,$17.64 ,No,4.7,"-3,016"
1,"ICE BREAKERS ICE CUBES Spearmint Flavored Sugar Free Chewing Gum, Made with Xylitol, 40 Piece Container (6 ct)",B07N7Y55R2,$19.99 ,No,4.8,"-1,565"
1,MEG - Military Energy Gum | 100mg of Caffeine Per Piece + Increase Energy + Boost Physical Performance + Arctic Mint 24 Pack (120 Count),B0017O19Q2,$30.00 ,No,4.5,"-2,068"
2,"PUR Gum | Sugar Free Chewing Gum | 100% Xylitol | Vegan, Aspartame Free, Gluten Free & Diabetic Friendly | Natural Peppermint Flavored Gum, 55 Pieces (Pack of 1)",B00ARABJZS,$4.99 ,Yes,4.3,"-36,869"
2,"Trident Layers Strawberry & Citrus Sugar Free Gum, 12 Packs of 14 Pieces",B004BKXCHI,$21.48 ,No,4.7,"-2,053"
2,"Trident Cinnamon Sugar Free Gum, 24 Packs of 14 Pieces (336 Total Pieces)",B07D91DTV7,$16.93 ,No,4.7,"-4,073"
2,"Wrigley Doublemint, Spearmint, Juicy Fruit, Big Red, Winterfresh Chewing Gum - 4 Packs of Each (5 Flavors) - Fresh Variety Assortment - 20 Total Packs of Gum",B093XHZTDK,$13.77 ,No,4.3,-146
2,"(12 Pack) WRIGLEY'S FREEDENT Spearmint Chewing Gum, 15 Stick",B001IZHRD4,$14.28 ,No,4.7,"-5,474"
2,"EXTRA Spearmint Sugarfree Gum, 35-Stick Pack",B01I9XOQBS,N/S,No,4.8,"-1,134"
2,"(8 Pack) ORBIT Gum Sweet Mint Sugar Free Chewing Gum Bulk Pack, 14 Piece",B010VF2DGM,$49.68 ,No,4.8,-410
2,"Wrigley's Gum, Spearmint, 5 Count (Pack of 40)",B0000DGDPF,$14.00 ,No,4.6,-473
2,"Orbit Sweet Mint Sugarfree Gum, multipack, 14 Count (Pack of 3)",B00DY60D9U,$3.48 ,No,4.7,"-2,026"
2,"Rain-Blo Bubble Gum Balls, 0.53 Ounce Tube (Pack of 48)",B0037XI856,$19.99 ,No,4.5,"-4,020"
2,"ECLIPSE Winterfrost Sugarfree Gum, 60 Count (Pack of 4)",B001D3PXSC,$19.96 ,No,4.8,-734
2,"Orbit, Bubblemint Sugarfree Gum, 42 ct",B072631FP5,$3.48 ,No,4.7,-210
2,"Eclipse Winterfrost Sugarfree Gum, 60 Count (Pack of 6)",B00J415B0U,$20.94 ,No,4.8,"-1,868"
2,SweetXO Dubble Bubble Blueberry Smoothie Gumballs (4oz),BTOFYF81ZB,$4.99 ,Yes,0,0
2,Dentyne Ice Sugar Free Gum (Spearmint 16 Piece Pack of 9),B006R0YSFA,$12.49 ,No,4.8,"-4,056"
2,Dubble Bubble Gum 1.5 Lbs Original Flavor Individually Wrapped,B074MHMBQ9,$11.00 ,No,4.4,"-3,013"
2,Wrigley's Orbit 20 Pack - 14 Piece Packages - Sugar Free Gum - Variety Box,B00SEY5126,$26.29 ,No,4.7,-273
2,"ORBIT Gum Bubblemint Sugar Free Chewing Gum Bulk Pack, 120 ct Bottle",B00DISGV1S,$5.49 ,No,4.7,"-2,347"
2,"PUR Gum | Sugar Free Chewing Gum | 100% Xylitol | Vegan, Aspartame Free, Gluten Free & Diabetic Friendly | Natural Peppermint Flavored Gum, 9 Pieces (Pack of 12)",B005258A0K,$17.42 ,Yes,4.4,"-2,521"
2,"(4 Pack) JUICY FRUIT Original Bubble Gum Chewing Gum Bulk Pack, 40 piece Bottle",B00LLRLQZO,$13.84 ,No,4.7,"-3,001"
2,"Mentos Pure Fresh Sugar-Free Chewing Gum with Xylitol, Fresh Mint, 120 Piece Bulk Resealable Bag (Pack of 1)",B01N8UJR14,$6.82 ,No,4.8,"-5,522"
2,"Trident Unwrapped Original Flavor Sugar Free Gum, 6 Bottles of 50 Pieces (300 Total Pieces)",B00W8F9MXQ,$35.93 ,No,4.8,"-2,880"
2,"Simply Gum | Variety Pack - Boost, Cleanse, Revive | Pack of Six (90 Pieces Total) | Synthetic Free + Aspartame Free + non GMO…",B07DKMQ7PD,$14.99 ,No,3.9,"-11,178"
2,"Mentos Pure Fresh Sugar-Free Chewing Gum with Xylitol, Spearmint, 15 Piece Bottle (Bulk Pack of 10)",B004MNIWTC,$10.00 ,No,4.6,"-1,858"
2,"Epic Xylitol Chewing Gum - Sugar Free & Aspartame Free Chewing Gum Sweetened w/ Xylitol for Dry Mouth & Gum Health (Peppermint, 12-Piece Pack, 12 Packs)",B003IGBTLW,$19.49 ,No,4.4,"-3,684"
2,"Bubblicious Watermelon Gum, 18 Packs of 5 Pieces (90 Total Pieces)",B000I4P7UQ,$14.23 ,No,4.6,"-1,552"
2,"Spry Fresh Natural Xylitol Chewing Gum Dental Defense System Aspartame-Free Sugar Free Gum (Peppermint, 550 Count - Pack of 1)",B00124WBCS,$39.99 ,No,4.5,"-4,189"
2,"Simply Gum Natural Chewing Gum (Spearmint, 1 Pack)",B07V5KFG31,$5.03 ,No,3.9,"-1,045"
